"","word1","word2","freq"
"760","washington","dc",8
"761","way","life",8
"762","we","got",8
"763","when","comes",8
"764","whenever","i",8
"765","will","able",8
"766","will","first",8
"767","will","need",8
"768","will","remain",8
"769","will","tell",8
"770","years","later",8
"771","years","prison",8
"772","yet","another",8
"773","you","get",8
"774","you","may",8
"775","youre","going",8
"776","a","man",7
"777","absolutely","love",7
"778","act","like",7
"779","actually","i",7
"780","almost","every",7
"781","always","good",7
"782","am","i",7
"783","among","many",7
"784","april","th",7
"785","art","museum",7
"786","as","result",7
"787","at","point",7
"788","away","i",7
"789","back","home",7
"790","better","yet",7
"791","big","deal",7
"792","birthday","i",7
"793","breast","cancer",7
"794","but","also",7
"795","but","even",7
"796","but","im",7
"797","by","time",7
"798","by","way",7
"799","came","across",7
"800","can","talk",7
"801","city","i",7
"802","come","see",7
"803","coming","soon",7
"804","county","sheriffs",7
"805","court","appeals",7
"806","days","later",7
"807","design","team",7
"808","didnt","think",7
"809","different","things",7
"810","don’t","like",7
"811","done","i",7
"812","dont","care",7
"813","dont","understand",7
"814","earlier","year",7
"815","every","one",7
"816","excited","i",7
"817","fell","percent",7
"818","final","four",7
"819","finally","got",7
"820","first","year",7
"821","foreign","policy",7
"822","fourth","quarter",7
"823","gas","prices",7
"824","gay","marriage",7
"825","get","done",7
"826","get","job",7
"827","getting","back",7
"828","giving","away",7
"829","go","i",7
"830","great","weekend",7
"831","ha","ha",7
"832","happy","mothers",7
"833","happy","new",7
"834","hard","get",7
"835","hard","i",7
"836","have","ever",7
"837","he","doesnt",7
"838","home","run",7
"839","home","runs",7
"840","hope","can",7
"841","hours","later",7
"842","house","i",7
"843","i","continue",7
"844","i","couldn’t",7
"845","i","discovered",7
"846","i","doubt",7
"847","i","enjoy",7
"848","i","enjoyed",7
"849","i","excited",7
"850","i","gotta",7
"851","i","kept",7
"852","i","leave",7
"853","i","met",7
"854","i","simply",7
"855","i","spend",7
"856","i","understand",7
"857","i","working",7
"858","i","yet",7
"859","im","back",7
"860","im","proud",7
"861","in","may",7
"862","in","short",7
"863","interest","rates",7
"864","it","great",7
"865","it","makes",7
"866","it","really",7
"867","it’s","just",7
"868","its","going",7
"869","its","good",7
"870","ive","done",7
"871","june","th",7
"872","just","case",7
"873","just","finished",7
"874","just","make",7
"875","just","saw",7
"876","just","saying",7
"877","just","started",7
"878","just","three",7
"879","keep","going",7
"880","kind","words",7
"881","last","summer",7
"882","last","two",7
"883","least","i",7
